username,manga_id,user_score
sushiisawesome,158849,0
sushiisawesome,118063,0
sushiisawesome,164732,0
sushiisawesome,165142,0
sushiisawesome,151303,0
sushiisawesome,115041,0
sushiisawesome,100079,0
sushiisawesome,181162,0
sushiisawesome,110766,0
sushiisawesome,70557,0
sushiisawesome,105029,0
sushiisawesome,99944,0
sushiisawesome,89264,0
sushiisawesome,108407,1
sushiisawesome,153031,0
sushiisawesome,63007,0
sushiisawesome,76015,0
sushiisawesome,148054,0
sushiisawesome,138374,0
sushiisawesome,106615,0
sushiisawesome,170327,0
sushiisawesome,131334,0
sushiisawesome,143557,0
sushiisawesome,101396,0
sushiisawesome,136928,0
sushiisawesome,142171,0
sushiisawesome,145359,0
sushiisawesome,122421,0
sushiisawesome,130331,0
sushiisawesome,141443,0
sushiisawesome,52515,0
sushiisawesome,151109,0
sushiisawesome,174236,0
sushiisawesome,166058,0
sushiisawesome,140868,0
sushiisawesome,121197,0
sushiisawesome,160709,0
sushiisawesome,8876,0
sushiisawesome,148467,0
sushiisawesome,160764,0
sushiisawesome,142085,0
sushiisawesome,152199,0
sushiisawesome,124209,0
sushiisawesome,152938,0
sushiisawesome,124374,0
sushiisawesome,14483,0
sushiisawesome,163882,0
sushiisawesome,125340,0
sushiisawesome,119161,0
sushiisawesome,158157,0
sushiisawesome,134533,0
sushiisawesome,167719,0
sushiisawesome,141337,0
sushiisawesome,121484,0
sushiisawesome,123444,0
sushiisawesome,140072,0
sushiisawesome,120643,0
sushiisawesome,123681,0
sushiisawesome,61189,0
sushiisawesome,123649,0
sushiisawesome,130934,0
sushiisawesome,165540,0
sushiisawesome,107562,0
sushiisawesome,146242,0
sushiisawesome,146207,0
sushiisawesome,142457,0
sushiisawesome,119914,0
sushiisawesome,165259,0
sushiisawesome,112807,0
sushiisawesome,128721,0
sushiisawesome,119022,0
sushiisawesome,123781,0
sushiisawesome,144267,0
sushiisawesome,121461,0
sushiisawesome,130924,0
sushiisawesome,157384,0
sushiisawesome,133268,0
sushiisawesome,142780,0
sushiisawesome,130893,0
sushiisawesome,133283,0
sushiisawesome,156333,0
sushiisawesome,138877,0
sushiisawesome,167913,0
sushiisawesome,143609,0
sushiisawesome,112922,0
sushiisawesome,133833,0
sushiisawesome,128538,0
sushiisawesome,167099,0
sushiisawesome,96812,0
sushiisawesome,115366,0
sushiisawesome,138481,0
sushiisawesome,146732,0
sushiisawesome,163232,0
sushiisawesome,177448,0
sushiisawesome,182733,0
sushiisawesome,163356,0
sushiisawesome,162964,0
sushiisawesome,120177,0
sushiisawesome,130524,0
sushiisawesome,164758,0
sushiisawesome,132678,0
sushiisawesome,156622,0
sushiisawesome,102330,0
sushiisawesome,145123,0
sushiisawesome,118625,0
sushiisawesome,174398,0
sushiisawesome,156394,0
sushiisawesome,100035,0
sushiisawesome,133545,0
sushiisawesome,188079,0
sushiisawesome,154884,0
sushiisawesome,128088,0
sushiisawesome,157036,0
sushiisawesome,127624,0
sushiisawesome,150824,0
sushiisawesome,148799,0
sushiisawesome,85561,0
sushiisawesome,122392,0
Ant3331000,768,0
Ant3331000,46716,0
ItzDamonnn,111953,0
ItzDamonnn,121504,0
ItzDamonnn,112226,8
ItzDamonnn,128694,6
ItzDamonnn,132166,0
ItzDamonnn,23390,8
ItzDamonnn,135545,0
ItzDamonnn,129125,0
ItzDamonnn,70941,10
ItzDamonnn,111404,0
ItzDamonnn,112589,0
ItzDamonnn,103694,0
ItzDamonnn,134443,0
ItzDamonnn,70345,0
ItzDamonnn,96145,10
ItzDamonnn,130633,8
ItzDamonnn,135331,0
ItzDamonnn,118819,0
ItzDamonnn,89781,7
ItzDamonnn,99007,0
ItzDamonnn,130155,0
ItzDamonnn,107908,9
ItzDamonnn,115220,0
ItzDamonnn,112268,8
